,Emoji_ID,Emoji,Unicode_Name,Arabic_Name,Class,Total_Occurrence,Negativity_Occurrence_N(Negative),Neutrality_Occurrence_N(Neutral),Positivity_Occurrence_N(Positive),Negativite_Probability_P(Negative),Neutral_Probability_P(Neutral),Positive_Probability_P(Positive),Sentiment_Score_S,Sentiment_Label_L
1,b'\xf0\x9f\x98\x82',😂, Face With Tears Of Joy ,وجه بدموع الفرح,Facial Expression,25908,8106,2638,15164,0.3128763316350162,0.10182183109464259,0.5853018372703412,0.272425505635325,positive
2,b'\xf0\x9f\x92\x94',💔, Broken Heart ,قلب مجروح,Heart,18564,17781,342,441,0.9578215901745314,0.018422753716871364,0.023755656108597284,-0.9340659340659341,negative
3,b'\xe2\x9d\xa4',❤, Red Heart ,قلب احمر,Heart,15876,2701,1573,11602,0.1701310153691106,0.0990803728898967,0.7307886117409927,0.5606575963718822,positive
4,b'\xf0\x9f\x98\xad',😭, Loudly Crying Face ,وجه يبكي بصوت عالي,Facial Expression,12318,9525,1617,1176,0.7732586458840721,0.13127131027764247,0.09547004383828543,-0.6777886020457867,negative
5,b'\xf0\x9f\x98\x8d',😍, Smiling Face With Heart-Eyes ,وجه مبتسم بعيون قلب,Facial Expression,6815,198,493,6124,0.02905355832721937,0.07234042553191489,0.8986060161408658,0.8695524578136464,positive
6,b'\xf0\x9f\x8c\xb9',🌹, Rose ,ورده,Nature,6173,390,662,5121,0.06317835736270858,0.10724121172849506,0.8295804309087964,0.7664020735460878,positive
7,b'\xf0\x9f\x99\x82',🙂, Slightly Smiling Face ,وجه بابتسامه خفيفه,Facial Expression,5717,1862,697,3158,0.32569529473500086,0.1219170893825433,0.5523876158824559,0.22669232114745502,positive
8,b'\xf0\x9f\x92\x95',💕, Two Hearts ,قلبين,Heart,5573,1066,722,3785,0.19127938273820205,0.12955320294275974,0.6791674143190383,0.4878880315808362,positive
9,b'\xf0\x9f\x98\x85',😅, Grinning Face With Sweat ,وجه مبتسم متعرق,Facial Expression,5499,754,1057,3688,0.13711583924349882,0.1922167666848518,0.6706673940716494,0.5335515548281506,positive
10,b'\xf0\x9f\x92\x99',💙, Blue Heart ,قلب ازرق,Heart,5444,871,348,4225,0.1599926524614254,0.0639235855988244,0.7760837619397501,0.6160911094783248,positive
